REQUEST-901-INITIALIZATION|Initialization
REQUEST-905-COMMON-EXCEPTIONS|Common exceptions
REQUEST-910-IP-REPUTATION|Bad IP reputation
REQUEST-912-DOS-PROTECTION|DoS attack
REQUEST-913-SCANNER-DETECTION|Scanner detection
REQUEST-920-PROTOCOL-ENFORCEMENT|Prevent exploitation
REQUEST-921-PROTOCOL-ATTACK|Prevent HTTP protocol attack
REQUEST-930-APPLICATION-ATTACK-LFI|Local File Inclusion attack
REQUEST-931-APPLICATION-ATTACK-RFI|Remote File inclusion attack
REQUEST-933-APPLICATION-ATTACK-PHP|PHP application attack
REQUEST-941-APPLICATION-ATTACK-XSS|XSS attack
REQUEST-942-APPLICATION-ATTACK-SQLI|SQL injection attack
REQUEST-943-APPLICATION-ATTACK-SESSION-FIXATION|Session fixation attack
REQUEST-949-BLOCKING-EVALUATION|Blocking evaluation
RESPONSE-950-DATA-LEAKAGES|Prevent data leakages
RESPONSE-951-DATA-LEAKAGES-SQL|Prevent SQL data leakages
RESPONSE-952-DATA-LEAKAGES-JAVA|Prevent Java data leakages
RESPONSE-953-DATA-LEAKAGES-PHP|Prevent PHP data leakages
RESPONSE-954-DATA-LEAKAGES-IIS|Prevent ISS data leakages
RESPONSE-959-BLOCKING-EVALUATION|Anomalous traffic blocked
RESPONSE-980-CORRELATION|Correlation
